,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,label
0,126.59978,76.03746,-5.8096333,13.457764,-4.247101,10.99998,2.6855364,5.501438,2.7713618,3.9713101,2.5552363,4.100902,3.0236316,1
1,126.90965,62.227654,-4.3464212,14.845157,-1.2425089,12.564735,1.3549279,7.0101967,4.7774487,3.3338752,3.919385,2.2285757,2.5843482,1
2,113.69998,80.2204,-6.840761,18.043343,-0.897321,10.954094,2.7164025,6.7525845,3.236335,2.628345,3.4348836,0.3753904,2.2744575,1
3,123.81981,72.96361,-7.2254043,21.83797,4.926759,10.167419,1.7826207,6.9245906,2.8591118,3.4785209,2.5937285,2.4716105,2.6160173,1
4,133.70938,61.544037,-5.7119994,16.739765,-1.5004851,11.202463,3.8336816,8.845648,3.4092684,6.0497503,4.4452467,3.7254019,3.1881826,1
5,125.24873,73.40927,-2.9395115,15.4994545,-3.8879733,10.664125,1.892761,7.208043,3.2500987,5.840679,3.515686,2.683569,2.4605486,1
6,115.0034,58.415634,-4.5652285,16.034506,-0.94210345,9.592499,0.13235371,3.184737,0.8086007,1.6718278,-1.6195669,-1.1221476,-1.7128301,1
7,113.48947,93.6658,-0.7525469,15.367159,-3.7034678,7.9306455,-3.9386349,0.8055589,-2.3416102,-2.8497858,-4.494773,-2.8269506,-1.9609255,1
8,127.47443,75.59827,-5.108073,15.144106,-2.0865037,9.611544,0.304573,5.34857,2.8056102,2.553173,1.5023425,1.1324598,0.8150482,1
9,116.24625,91.61099,-10.685843,15.033601,-0.994177,3.9610915,-3.739248,1.664303,-0.72612584,1.3521456,-0.2678536,0.296596,-0.5966081,1
10,123.47636,85.308754,-5.3934727,15.906348,-0.063735,7.7064962,-0.35654604,3.2430723,0.29857373,2.2286434,-0.3870737,1.1648738,1.2225888,1
11,123.08307,69.30139,-3.325694,17.025232,-0.20250519,10.716021,1.1821947,7.141281,4.830615,5.369837,4.117705,3.1139984,3.394372,1
12,110.888565,87.17416,-4.099687,20.758575,1.2707671,11.360147,2.8082604,4.4590607,-0.7417339,0.33849204,0.06863144,1.413825,2.2285237,1
13,134.02075,74.70383,-16.751316,12.853083,0.21850538,8.239397,-0.113757536,1.5440872,0.48422068,1.0381557,-0.6200413,0.8763452,2.449106,1
14,108.081635,77.96594,1.0885532,25.645403,3.094794,12.683636,4.4493885,7.053201,3.8254843,4.1194844,2.6943374,2.8994894,2.2322793,1
15,113.44017,81.00754,-3.4565778,16.92667,-0.8751133,7.730465,-1.3069072,2.3454795,-1.0006318,-0.13095607,0.68572974,1.7160952,-0.41572398,1
16,129.56506,67.17987,-12.799435,17.214184,4.153509,11.922079,5.4180493,7.8412833,4.1331115,3.8179152,3.181017,5.122386,4.341346,1
17,116.40323,94.27406,-13.7323265,14.156479,-1.4904188,5.92062,-3.3833053,0.5211705,0.21325009,0.9744519,-0.56652695,0.62747556,1.3650637,1
18,111.22774,72.44936,-3.6498327,19.41526,2.7429004,14.064597,2.0850859,5.5310373,2.0290513,2.4534757,0.719542,0.49942636,0.0064911246,1
19,92.716415,96.88111,-3.41299,20.207067,-2.2217374,8.706666,4.4076557,3.8917232,1.9156373,2.775942,2.5008786,2.930788,2.5410767,1
20,131.30054,65.56804,-4.4505653,18.482353,-0.037627228,8.872644,2.1931658,4.984796,0.6452143,2.834565,0.8354491,2.585824,0.4118663,1
21,117.051575,74.030334,-17.977661,13.494821,-0.6187894,7.1895103,0.2182976,3.1820574,0.5401291,1.0471953,-0.030214481,1.0338333,0.94041336,1
22,96.978485,98.10041,1.4483795,21.559675,3.5070305,11.828455,1.1580956,5.940037,2.538319,3.6084058,1.340215,0.71117353,-0.74953985,1
